CHEQUEESPECIAL;USO_CREDITO;HISTORICO_CREDITO;PROPOSITO;BALANCO_ATUAL;BALANCO_MEDIO_CREDITO;EMPREGADO;LOCAL;ESTADOCIVIL;OUTRASFUNCOES;RESIDENCIADESDE;TIPOSBENS;IDADE;OUTROSPLANOSPGTO;RESIDENCIA;CREDITOSEXISTENTES;EMPREGO;DEPENDENTES;TRABAESTRANGEIRO;CLASSE
0<=X<200;24;existente e pago;carro novo;3512;100<=X<500;4<=X<7;2;masculino solteiro;nenhum;3;carro;38;banco;própria;2;especializado;1;sim;bom
sem cheque;6;crítica / outros de crédito existente;Computador/TV;1898;nenhuma economia conhecida;1<=X<4;1;masculino solteiro;nenhum;2;bens imóveis;34;nenhum;própria;2;não especializado;2;sim;bom
sem cheque;24;crítica / outros de crédito existente;Computador/TV;2872;100<=X<500;>=7;3;masculino solteiro;nenhum;4;bens imóveis;36;nenhum;própria;1;especializado;2;sim;bom
sem cheque;18;crítica / outros de crédito existente;carro novo;1055;<100;<1;4;fem div/cas;nenhum;1;seguro de vida;30;nenhum;própria;2;especializado;1;sim;bom
sem cheque;15;existente e pago;Eletrodomésticos;1262;500<=X<1000;4<=X<7;4;masculino solteiro;nenhum;3;seguro de vida;36;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;10;existente e pago;carro novo;7308;<100;desempregado;2;masculino solteiro;nenhum;4;nenhuma conhecida;70;banco;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;36;existente e pago;carro novo;909;500<=X<1000;>=7;4;masculino solteiro;nenhum;4;seguro de vida;36;nenhum;própria;1;especializado;1;sim;bom
sem cheque;6;existente e pago;mobilia/equipamento;2978;500<=X<1000;1<=X<4;1;masculino solteiro;nenhum;2;carro;32;nenhum;própria;1;especializado;1;sim;bom
<0;18;existente e pago;mobilia/equipamento;1131;<100;desempregado;4;fem div/cas;nenhum;2;carro;33;nenhum;própria;1;especializado;1;sim;ruim
0<=X<200;11;existente e pago;mobilia/equipamento;1577;>=1000;<1;4;fem div/cas;nenhum;1;bens imóveis;20;nenhum;própria;1;especializado;1;sim;bom
sem cheque;24;existente e pago;mobilia/equipamento;3972;<100;4<=X<7;2;fem div/cas;nenhum;4;seguro de vida;25;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;24;crítica / outros de crédito existente;negócios;1935;<100;>=7;4;masculino div/sep;nenhum;4;bens imóveis;31;nenhum;própria;2;especializado;1;sim;ruim
<0;15;sem créditos/todos pagos;carro novo;950;<100;>=7;4;masculino solteiro;nenhum;3;carro;33;nenhum;alugada;2;especializado;2;sim;ruim
sem cheque;12;existente e pago;mobilia/equipamento;763;<100;1<=X<4;4;fem div/cas;nenhum;1;bens imóveis;26;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;24;atrasos anteriores;mobilia/equipamento;2064;<100;desempregado;3;fem div/cas;nenhum;2;seguro de vida;34;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
0<=X<200;8;existente e pago;Computador/TV;1414;<100;1<=X<4;4;masculino solteiro;fiador;2;bens imóveis;33;nenhum;própria;1;especializado;1;não;bom
<0;21;atrasos anteriores;educação;3414;<100;<1;2;masculino solteiro;nenhum;1;seguro de vida;26;nenhum;própria;2;especializado;1;sim;ruim
sem cheque;30;todos pagos;carro usado;7485;nenhuma economia conhecida;desempregado;4;fem div/cas;nenhum;1;bens imóveis;53;banco;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
<0;12;existente e pago;mobilia/equipamento;2577;<100;1<=X<4;2;masculino div/sep;nenhum;1;carro;42;nenhum;própria;1;especializado;1;sim;bom
<0;6;crítica / outros de crédito existente;Computador/TV;338;500<=X<1000;>=7;4;masculino solteiro;nenhum;4;carro;52;nenhum;própria;2;especializado;1;sim;bom
sem cheque;12;existente e pago;Computador/TV;1963;<100;4<=X<7;4;masculino solteiro;nenhum;2;carro;31;nenhum;alugada;2;alta qualificação/autonomo/Gerente;2;sim;bom
<0;21;crítica / outros de crédito existente;carro novo;571;<100;>=7;4;masculino solteiro;nenhum;4;bens imóveis;65;nenhum;própria;2;especializado;1;sim;bom
sem cheque;36;atrasos anteriores;negócios;9572;<100;<1;1;masculino div/sep;nenhum;1;carro;28;nenhum;própria;2;especializado;1;sim;ruim
0<=X<200;36;atrasos anteriores;negócios;4455;<100;1<=X<4;2;masculino div/sep;nenhum;2;bens imóveis;30;stores;própria;2;alta qualificação/autonomo/Gerente;1;sim;ruim
<0;21;todos pagos;carro novo;1647;nenhuma economia conhecida;1<=X<4;4;masculino solteiro;nenhum;2;seguro de vida;40;nenhum;própria;2;não especializado;2;sim;ruim
sem cheque;24;crítica / outros de crédito existente;mobilia/equipamento;3777;>=1000;1<=X<4;4;masculino solteiro;nenhum;4;bens imóveis;50;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;18;crítica / outros de crédito existente;carro novo;884;<100;>=7;4;masculino solteiro;nenhum;4;carro;36;banco;própria;1;especializado;2;sim;ruim
sem cheque;15;crítica / outros de crédito existente;Computador/TV;1360;<100;1<=X<4;4;masculino solteiro;nenhum;2;seguro de vida;31;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;9;todos pagos;carro usado;5129;<100;>=7;2;fem div/cas;nenhum;4;nenhuma conhecida;74;banco;gratuitamente;1;alta qualificação/autonomo/Gerente;2;sim;ruim
0<=X<200;16;crítica / outros de crédito existente;carro novo;1175;<100;desempregado;2;masculino solteiro;nenhum;3;carro;68;nenhum;gratuitamente;3;unemp/unespecializado non res;1;sim;bom
<0;12;existente e pago;Computador/TV;674;100<=X<500;4<=X<7;4;masculino casado/viuvo;nenhum;1;seguro de vida;20;nenhum;própria;1;especializado;1;sim;ruim
0<=X<200;18;sem créditos/todos pagos;mobilia/equipamento;3244;<100;1<=X<4;1;fem div/cas;nenhum;4;carro;33;banco;própria;2;especializado;1;sim;bom
sem cheque;24;existente e pago;negócios;4591;>=1000;1<=X<4;2;masculino solteiro;nenhum;3;seguro de vida;54;nenhum;própria;3;alta qualificação/autonomo/Gerente;1;sim;ruim
0<=X<200;48;sem créditos/todos pagos;negócios;3844;100<=X<500;4<=X<7;4;masculino solteiro;nenhum;4;nenhuma conhecida;34;nenhum;gratuitamente;1;não especializado;2;sim;ruim
0<=X<200;27;existente e pago;negócios;3915;<100;1<=X<4;4;masculino solteiro;nenhum;2;carro;36;nenhum;própria;1;especializado;2;sim;ruim
sem cheque;6;existente e pago;Computador/TV;2108;<100;4<=X<7;2;masculino casado/viuvo;nenhum;2;bens imóveis;29;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;45;existente e pago;Computador/TV;3031;100<=X<500;1<=X<4;4;masculino solteiro;fiador;4;seguro de vida;21;nenhum;alugada;1;especializado;1;sim;ruim
0<=X<200;9;crítica / outros de crédito existente;educação;1501;<100;>=7;2;fem div/cas;nenhum;3;carro;34;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;6;crítica / outros de crédito existente;Computador/TV;1382;<100;1<=X<4;1;fem div/cas;nenhum;1;carro;28;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;12;existente e pago;mobilia/equipamento;951;100<=X<500;<1;4;fem div/cas;nenhum;4;carro;27;banco;alugada;4;especializado;1;sim;ruim
0<=X<200;24;existente e pago;carro usado;2760;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;36;banco;gratuitamente;1;especializado;1;sim;bom
0<=X<200;18;atrasos anteriores;mobilia/equipamento;4297;<100;>=7;4;masculino div/sep;nenhum;3;nenhuma conhecida;40;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;9;crítica / outros de crédito existente;educação;936;500<=X<1000;>=7;4;masculino solteiro;nenhum;2;carro;52;nenhum;própria;2;especializado;1;sim;bom
<0;12;existente e pago;carro novo;1168;<100;1<=X<4;4;masculino casado/viuvo;nenhum;3;bens imóveis;27;nenhum;própria;1;não especializado;1;sim;bom
sem cheque;27;atrasos anteriores;negócios;5117;<100;4<=X<7;3;masculino solteiro;nenhum;4;carro;26;nenhum;própria;2;especializado;1;sim;bom
<0;12;existente e pago;qualificação;902;<100;4<=X<7;4;masculino casado/viuvo;nenhum;4;seguro de vida;21;nenhum;alugada;1;especializado;1;sim;ruim
sem cheque;12;crítica / outros de crédito existente;carro novo;1495;<100;>=7;4;masculino solteiro;nenhum;1;bens imóveis;38;nenhum;própria;2;não especializado;2;sim;bom
<0;30;crítica / outros de crédito existente;carro usado;10623;<100;>=7;3;masculino solteiro;nenhum;4;nenhuma conhecida;38;nenhum;gratuitamente;3;alta qualificação/autonomo/Gerente;2;sim;bom
sem cheque;12;crítica / outros de crédito existente;mobilia/equipamento;1935;<100;>=7;4;masculino solteiro;nenhum;4;bens imóveis;43;nenhum;própria;3;especializado;1;sim;bom
0<=X<200;12;crítica / outros de crédito existente;Eletrodomésticos;1424;<100;4<=X<7;4;masculino solteiro;nenhum;3;seguro de vida;26;nenhum;própria;1;especializado;1;sim;bom
<0;24;existente e pago;negócios;6568;<100;1<=X<4;2;masculino casado/viuvo;nenhum;2;carro;21;stores;própria;1;não especializado;1;sim;bom
sem cheque;12;existente e pago;carro usado;1413;>=1000;4<=X<7;3;masculino solteiro;nenhum;2;seguro de vida;55;nenhum;própria;1;especializado;1;não;bom
sem cheque;9;crítica / outros de crédito existente;Computador/TV;3074;nenhuma economia conhecida;1<=X<4;1;masculino solteiro;nenhum;2;bens imóveis;33;nenhum;própria;2;especializado;2;sim;bom
sem cheque;36;existente e pago;Computador/TV;3835;nenhuma economia conhecida;>=7;2;fem div/cas;nenhum;4;bens imóveis;45;nenhum;própria;1;não especializado;1;sim;bom
<0;27;sem créditos/todos pagos;negócios;5293;<100;desempregado;2;masculino solteiro;nenhum;4;seguro de vida;50;stores;própria;2;especializado;1;sim;ruim
>=200;30;atrasos anteriores;negócios;1908;<100;>=7;4;masculino solteiro;nenhum;4;bens imóveis;66;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;36;crítica / outros de crédito existente;Computador/TV;3342;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;2;carro;51;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;6;crítica / outros de crédito existente;qualificação;932;nenhuma economia conhecida;4<=X<7;1;fem div/cas;nenhum;3;seguro de vida;39;nenhum;própria;2;não especializado;1;sim;bom
<0;18;sem créditos/todos pagos;negócios;3104;<100;4<=X<7;3;masculino solteiro;nenhum;1;seguro de vida;31;banco;própria;1;especializado;1;sim;bom
>=200;36;existente e pago;Computador/TV;3913;<100;1<=X<4;2;masculino solteiro;nenhum;2;bens imóveis;23;nenhum;própria;1;especializado;1;sim;bom
<0;24;existente e pago;mobilia/equipamento;3021;<100;1<=X<4;2;masculino div/sep;nenhum;2;bens imóveis;24;nenhum;alugada;1;não especializado;1;sim;bom
sem cheque;10;existente e pago;carro novo;1364;<100;1<=X<4;2;fem div/cas;nenhum;4;carro;64;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;12;existente e pago;Computador/TV;625;<100;<1;4;masculino casado/viuvo;fiador;1;bens imóveis;26;banco;própria;1;não especializado;1;sim;bom
<0;12;existente e pago;educação;1200;nenhuma economia conhecida;1<=X<4;4;fem div/cas;nenhum;4;seguro de vida;23;banco;alugada;1;especializado;1;sim;bom
sem cheque;12;existente e pago;Computador/TV;707;<100;1<=X<4;4;masculino solteiro;nenhum;2;bens imóveis;30;banco;própria;2;especializado;1;sim;bom
sem cheque;24;atrasos anteriores;negócios;2978;nenhuma economia conhecida;1<=X<4;4;masculino solteiro;nenhum;4;bens imóveis;32;nenhum;própria;2;especializado;2;sim;bom
sem cheque;15;existente e pago;carro usado;4657;<100;1<=X<4;3;masculino solteiro;nenhum;2;carro;30;nenhum;própria;1;especializado;1;sim;bom
sem cheque;36;sem créditos/todos pagos;obras;2613;<100;1<=X<4;4;masculino solteiro;nenhum;2;carro;27;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;48;existente e pago;Computador/TV;10961;>=1000;4<=X<7;1;masculino solteiro;co requerente;2;nenhuma conhecida;27;banco;própria;2;especializado;1;sim;ruim
<0;12;existente e pago;mobilia/equipamento;7865;<100;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;53;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;9;existente e pago;Computador/TV;1478;<100;4<=X<7;4;masculino solteiro;nenhum;2;carro;22;nenhum;própria;1;especializado;1;sim;ruim
<0;24;existente e pago;mobilia/equipamento;3149;<100;<1;4;masculino solteiro;nenhum;1;nenhuma conhecida;22;banco;gratuitamente;1;especializado;1;sim;bom
>=200;36;existente e pago;Computador/TV;4210;<100;1<=X<4;4;masculino solteiro;nenhum;2;carro;26;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;9;existente e pago;carro novo;2507;500<=X<1000;>=7;2;masculino solteiro;nenhum;4;nenhuma conhecida;51;nenhum;gratuitamente;1;não especializado;1;sim;bom
sem cheque;12;existente e pago;Computador/TV;2141;100<=X<500;4<=X<7;3;masculino solteiro;nenhum;1;nenhuma conhecida;35;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;18;existente e pago;Computador/TV;866;<100;1<=X<4;4;masculino casado/viuvo;fiador;2;bens imóveis;25;nenhum;própria;1;não especializado;1;sim;bom
sem cheque;4;crítica / outros de crédito existente;Computador/TV;1544;<100;4<=X<7;2;masculino solteiro;nenhum;1;bens imóveis;42;nenhum;própria;3;não especializado;2;sim;bom
<0;24;existente e pago;Computador/TV;1823;<100;desempregado;4;masculino solteiro;nenhum;2;carro;30;stores;própria;1;alta qualificação/autonomo/Gerente;2;sim;ruim
0<=X<200;6;existente e pago;carro novo;14555;nenhuma economia conhecida;desempregado;1;masculino solteiro;nenhum;2;seguro de vida;23;nenhum;própria;1;unemp/unespecializado non res;1;sim;ruim
0<=X<200;21;existente e pago;negócios;2767;100<=X<500;>=7;4;masculino div/sep;nenhum;2;carro;61;banco;alugada;2;não especializado;1;sim;ruim
sem cheque;12;crítica / outros de crédito existente;Computador/TV;1291;<100;1<=X<4;4;fem div/cas;nenhum;2;seguro de vida;35;nenhum;própria;2;especializado;1;sim;bom
<0;30;existente e pago;Computador/TV;2522;<100;>=7;1;masculino solteiro;fiador;3;seguro de vida;39;nenhum;própria;1;especializado;2;sim;bom
<0;24;existente e pago;carro novo;915;nenhuma economia conhecida;>=7;4;fem div/cas;nenhum;2;carro;29;banco;própria;1;especializado;1;sim;ruim
sem cheque;6;existente e pago;Computador/TV;1595;<100;4<=X<7;3;masculino solteiro;nenhum;2;seguro de vida;51;nenhum;própria;1;especializado;2;sim;bom
<0;48;sem créditos/todos pagos;carro usado;4605;<100;>=7;3;masculino solteiro;nenhum;4;nenhuma conhecida;24;nenhum;gratuitamente;2;especializado;2;sim;ruim
sem cheque;12;crítica / outros de crédito existente;negócios;1185;<100;1<=X<4;3;fem div/cas;nenhum;2;bens imóveis;27;nenhum;própria;2;especializado;1;sim;bom
sem cheque;12;todos pagos;qualificação;3447;500<=X<1000;1<=X<4;4;fem div/cas;nenhum;3;bens imóveis;35;nenhum;própria;1;não especializado;2;sim;bom
sem cheque;24;existente e pago;negócios;1258;<100;4<=X<7;4;masculino solteiro;nenhum;1;bens imóveis;25;nenhum;própria;1;especializado;1;sim;bom
sem cheque;12;crítica / outros de crédito existente;Computador/TV;717;<100;>=7;4;masculino solteiro;nenhum;4;bens imóveis;52;nenhum;própria;3;especializado;1;sim;bom
sem cheque;6;sem créditos/todos pagos;carro novo;1204;100<=X<500;1<=X<4;4;masculino solteiro;nenhum;1;nenhuma conhecida;35;banco;alugada;1;especializado;1;não;bom
>=200;24;existente e pago;mobilia/equipamento;1925;<100;1<=X<4;2;masculino solteiro;nenhum;2;bens imóveis;26;nenhum;própria;1;especializado;1;sim;bom
sem cheque;18;existente e pago;Computador/TV;433;<100;desempregado;3;fem div/cas;co requerente;4;bens imóveis;22;nenhum;alugada;1;especializado;1;sim;ruim
<0;6;crítica / outros de crédito existente;carro novo;666;>=1000;4<=X<7;3;fem div/cas;nenhum;4;bens imóveis;39;nenhum;própria;2;não especializado;1;sim;bom
>=200;12;existente e pago;mobilia/equipamento;2251;<100;1<=X<4;1;fem div/cas;nenhum;2;carro;46;nenhum;própria;1;não especializado;1;sim;bom
0<=X<200;30;existente e pago;carro novo;2150;<100;1<=X<4;4;fem div/cas;fiador;2;nenhuma conhecida;24;banco;própria;1;especializado;1;sim;ruim
sem cheque;24;atrasos anteriores;mobilia/equipamento;4151;100<=X<500;1<=X<4;2;masculino solteiro;nenhum;3;seguro de vida;35;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;9;existente e pago;mobilia/equipamento;2030;nenhuma economia conhecida;4<=X<7;2;masculino solteiro;nenhum;1;carro;24;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;60;atrasos anteriores;Computador/TV;7418;nenhuma economia conhecida;1<=X<4;1;masculino solteiro;nenhum;1;bens imóveis;27;nenhum;própria;1;não especializado;1;sim;bom
sem cheque;24;crítica / outros de crédito existente;Computador/TV;2684;<100;1<=X<4;4;masculino solteiro;nenhum;2;bens imóveis;35;nenhum;própria;2;não especializado;1;sim;bom
<0;12;todos pagos;Computador/TV;2149;<100;1<=X<4;4;masculino div/sep;nenhum;1;nenhuma conhecida;29;nenhum;gratuitamente;1;especializado;1;sim;ruim
sem cheque;15;existente e pago;carro usado;3812;100<=X<500;<1;1;fem div/cas;nenhum;4;carro;23;nenhum;própria;1;especializado;1;sim;bom
sem cheque;11;crítica / outros de crédito existente;Computador/TV;1154;100<=X<500;desempregado;4;fem div/cas;nenhum;4;bens imóveis;57;nenhum;própria;3;não especializado;1;sim;bom
<0;12;existente e pago;mobilia/equipamento;1657;<100;1<=X<4;2;masculino solteiro;nenhum;2;bens imóveis;27;nenhum;própria;1;especializado;1;sim;bom
<0;24;existente e pago;Computador/TV;1603;<100;>=7;4;fem div/cas;nenhum;4;carro;55;nenhum;própria;1;especializado;1;sim;bom
<0;18;crítica / outros de crédito existente;carro novo;5302;<100;>=7;2;masculino solteiro;nenhum;4;nenhuma conhecida;36;nenhum;gratuitamente;3;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;12;crítica / outros de crédito existente;educação;2748;<100;>=7;2;fem div/cas;nenhum;4;nenhuma conhecida;57;banco;gratuitamente;3;não especializado;1;sim;bom
sem cheque;10;crítica / outros de crédito existente;carro novo;1231;<100;>=7;3;masculino solteiro;nenhum;4;bens imóveis;32;nenhum;própria;2;não especializado;2;não;bom
0<=X<200;15;existente e pago;Computador/TV;802;<100;>=7;4;masculino solteiro;nenhum;3;carro;37;nenhum;própria;1;especializado;2;sim;ruim
sem cheque;36;crítica / outros de crédito existente;negócios;6304;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;bens imóveis;36;nenhum;própria;2;especializado;1;sim;bom
sem cheque;24;existente e pago;Computador/TV;1533;<100;<1;4;fem div/cas;nenhum;3;carro;38;stores;própria;1;especializado;1;sim;bom
<0;14;existente e pago;carro novo;8978;<100;>=7;1;masculino div/sep;nenhum;4;seguro de vida;45;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;não;ruim
sem cheque;24;existente e pago;Computador/TV;999;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;2;carro;25;nenhum;própria;2;especializado;1;sim;bom
sem cheque;18;existente e pago;carro novo;2662;nenhuma economia conhecida;4<=X<7;4;masculino solteiro;nenhum;3;seguro de vida;32;nenhum;própria;1;especializado;1;não;bom
sem cheque;12;crítica / outros de crédito existente;mobilia/equipamento;1402;500<=X<1000;4<=X<7;3;fem div/cas;nenhum;4;carro;37;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;48;todos pagos;carro novo;12169;nenhuma economia conhecida;desempregado;4;masculino solteiro;co requerente;4;nenhuma conhecida;36;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;48;existente e pago;Computador/TV;3060;<100;4<=X<7;4;masculino solteiro;nenhum;4;bens imóveis;28;nenhum;própria;2;especializado;1;sim;ruim
<0;30;existente e pago;obras;11998;<100;<1;1;masculino div/sep;nenhum;1;nenhuma conhecida;34;nenhum;própria;1;não especializado;1;sim;ruim
sem cheque;9;existente e pago;Computador/TV;2697;<100;1<=X<4;1;masculino solteiro;nenhum;2;bens imóveis;32;nenhum;própria;1;especializado;2;sim;bom
sem cheque;18;crítica / outros de crédito existente;Computador/TV;2404;<100;1<=X<4;2;fem div/cas;nenhum;2;carro;26;nenhum;própria;2;especializado;1;sim;bom
<0;12;existente e pago;mobilia/equipamento;1262;nenhuma economia conhecida;>=7;2;masculino div/sep;nenhum;4;seguro de vida;49;nenhum;própria;1;não especializado;1;sim;bom
sem cheque;6;existente e pago;mobilia/equipamento;4611;<100;<1;1;fem div/cas;nenhum;4;seguro de vida;32;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;24;existente e pago;Computador/TV;1901;100<=X<500;1<=X<4;4;masculino solteiro;nenhum;4;carro;29;nenhum;alugada;1;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;15;crítica / outros de crédito existente;carro usado;3368;>=1000;>=7;3;masculino solteiro;nenhum;4;nenhuma conhecida;23;nenhum;alugada;2;especializado;1;sim;bom
sem cheque;12;existente e pago;mobilia/equipamento;1574;<100;1<=X<4;4;masculino solteiro;nenhum;2;bens imóveis;50;nenhum;própria;1;especializado;1;sim;bom
>=200;18;todos pagos;Computador/TV;1445;nenhuma economia conhecida;4<=X<7;4;masculino solteiro;nenhum;4;carro;49;banco;própria;1;não especializado;1;sim;bom
sem cheque;15;crítica / outros de crédito existente;mobilia/equipamento;1520;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;seguro de vida;63;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;24;crítica / outros de crédito existente;carro novo;3878;100<=X<500;<1;4;masculino div/sep;nenhum;2;carro;37;nenhum;própria;1;especializado;1;sim;bom
<0;47;existente e pago;carro novo;10722;<100;<1;1;fem div/cas;nenhum;1;bens imóveis;35;nenhum;própria;1;não especializado;1;sim;bom
<0;48;existente e pago;carro usado;4788;<100;4<=X<7;4;masculino solteiro;nenhum;3;seguro de vida;26;nenhum;própria;1;especializado;2;sim;bom
0<=X<200;48;atrasos anteriores;outros;7582;100<=X<500;desempregado;2;masculino solteiro;nenhum;4;nenhuma conhecida;31;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;12;existente e pago;Computador/TV;1092;<100;1<=X<4;4;fem div/cas;fiador;4;bens imóveis;49;nenhum;própria;2;especializado;1;sim;bom
<0;24;atrasos anteriores;Computador/TV;1024;<100;<1;4;masculino casado/viuvo;nenhum;4;bens imóveis;48;stores;própria;1;especializado;1;sim;ruim
sem cheque;12;existente e pago;negócios;1076;<100;1<=X<4;2;masculino casado/viuvo;nenhum;2;bens imóveis;26;nenhum;própria;1;especializado;1;não;bom
0<=X<200;36;existente e pago;carro usado;9398;<100;<1;1;masculino casado/viuvo;nenhum;4;carro;28;nenhum;alugada;1;alta qualificação/autonomo/Gerente;1;sim;ruim
<0;24;crítica / outros de crédito existente;carro usado;6419;<100;>=7;2;fem div/cas;nenhum;4;nenhuma conhecida;44;nenhum;gratuitamente;2;alta qualificação/autonomo/Gerente;2;sim;bom
>=200;42;crítica / outros de crédito existente;carro usado;4796;<100;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;56;nenhum;gratuitamente;1;especializado;1;sim;bom
sem cheque;48;crítica / outros de crédito existente;negócios;7629;nenhuma economia conhecida;>=7;4;masculino div/sep;nenhum;2;carro;46;banco;própria;2;alta qualificação/autonomo/Gerente;2;sim;bom
0<=X<200;48;existente e pago;mobilia/equipamento;9960;<100;<1;1;fem div/cas;nenhum;2;carro;26;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;12;existente e pago;carro usado;4675;nenhuma economia conhecida;<1;1;fem div/cas;nenhum;4;carro;20;nenhum;alugada;1;especializado;1;sim;bom
sem cheque;10;existente e pago;carro novo;1287;nenhuma economia conhecida;>=7;4;masculino solteiro;co requerente;2;seguro de vida;45;nenhum;própria;1;não especializado;1;não;bom
sem cheque;18;existente e pago;mobilia/equipamento;2515;<100;1<=X<4;3;masculino solteiro;nenhum;4;bens imóveis;43;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;21;crítica / outros de crédito existente;mobilia/equipamento;2745;>=1000;4<=X<7;3;masculino solteiro;nenhum;2;carro;32;nenhum;própria;2;especializado;1;sim;bom
sem cheque;6;existente e pago;carro novo;672;<100;desempregado;1;fem div/cas;nenhum;4;bens imóveis;54;nenhum;própria;1;unemp/unespecializado non res;1;sim;bom
0<=X<200;36;sem créditos/todos pagos;Computador/TV;3804;<100;1<=X<4;4;fem div/cas;nenhum;1;carro;42;nenhum;própria;1;especializado;1;sim;ruim
>=200;24;crítica / outros de crédito existente;carro novo;1344;nenhuma economia conhecida;4<=X<7;4;masculino solteiro;nenhum;2;bens imóveis;37;banco;própria;2;não especializado;2;sim;ruim
<0;10;crítica / outros de crédito existente;carro novo;1038;<100;4<=X<7;4;masculino solteiro;co requerente;3;seguro de vida;49;nenhum;própria;2;especializado;1;sim;bom
sem cheque;48;crítica / outros de crédito existente;carro novo;10127;500<=X<1000;1<=X<4;2;masculino solteiro;nenhum;2;nenhuma conhecida;44;banco;gratuitamente;1;especializado;1;sim;ruim
sem cheque;6;existente e pago;mobilia/equipamento;1543;>=1000;1<=X<4;4;masculino div/sep;nenhum;2;bens imóveis;33;nenhum;própria;1;especializado;1;sim;bom
sem cheque;30;existente e pago;carro usado;4811;nenhuma economia conhecida;4<=X<7;2;fem div/cas;nenhum;4;seguro de vida;24;stores;alugada;1;não especializado;1;sim;bom
<0;12;existente e pago;Computador/TV;727;100<=X<500;<1;4;masculino casado/viuvo;nenhum;3;nenhuma conhecida;33;nenhum;própria;1;não especializado;1;sim;ruim
0<=X<200;8;existente e pago;mobilia/equipamento;1237;<100;1<=X<4;3;fem div/cas;nenhum;4;bens imóveis;24;nenhum;própria;1;especializado;1;sim;ruim
0<=X<200;9;existente e pago;carro novo;276;<100;1<=X<4;4;masculino casado/viuvo;nenhum;4;bens imóveis;22;nenhum;alugada;1;não especializado;1;sim;bom
0<=X<200;48;existente e pago;outros;5381;nenhuma economia conhecida;desempregado;3;masculino solteiro;nenhum;4;nenhuma conhecida;40;banco;gratuitamente;1;unemp/unespecializado non res;1;sim;bom
sem cheque;24;existente e pago;mobilia/equipamento;5511;100<=X<500;1<=X<4;4;masculino solteiro;nenhum;1;carro;25;stores;própria;1;especializado;1;sim;bom
>=200;24;existente e pago;mobilia/equipamento;3749;<100;<1;2;fem div/cas;nenhum;4;carro;26;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;12;existente e pago;carro novo;685;<100;4<=X<7;2;masculino casado/viuvo;nenhum;3;carro;25;banco;própria;1;não especializado;1;sim;ruim
>=200;4;existente e pago;carro novo;1494;nenhuma economia conhecida;<1;1;masculino solteiro;nenhum;2;bens imóveis;29;nenhum;própria;1;não especializado;2;não;bom
<0;36;todos pagos;mobilia/equipamento;2746;<100;>=7;4;masculino solteiro;nenhum;4;carro;31;banco;própria;1;especializado;1;sim;ruim
<0;12;existente e pago;mobilia/equipamento;708;<100;1<=X<4;2;masculino solteiro;fiador;3;seguro de vida;38;nenhum;própria;1;não especializado;2;sim;bom
0<=X<200;24;existente e pago;mobilia/equipamento;4351;nenhuma economia conhecida;1<=X<4;1;fem div/cas;nenhum;4;seguro de vida;48;nenhum;própria;1;não especializado;1;sim;bom
